title,img,评分
肖申克的救赎,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,9.7
霸王别姬,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg,9.6
阿甘正传,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2559011361.jpg,9.5
这个杀手不太冷,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,9.4
美丽人生,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p510861873.jpg,9.5
泰坦尼克号,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,9.4
千与千寻,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg,9.3
辛德勒的名单,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,9.5
盗梦空间,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,9.3
忠犬八公的故事,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p524964016.jpg,9.3
机器人总动员,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg,9.3
海上钢琴师,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg,9.3
三傻大闹宝莱坞,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg,9.2
放牛班的春天,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg,9.3
楚门的世界,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,9.3
星际穿越,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206088801.jpg,9.3
大话西游之大圣娶亲,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg,9.2
龙猫,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg,9.2
熔炉,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg,9.3
无间道,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg,9.2
教父,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg,9.3
疯狂动物城,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2315672647.jpg,9.2
当幸福来敲门,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1312700628.jpg,9.1
怦然心动,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2220734673.jpg,9.0
触不可及,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1454259399.jpg,9.2
蝙蝠侠：黑暗骑士,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg,9.2
活着,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2513253791.jpg,9.2
控方证人,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg,9.6
乱世佳人,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg,9.3
少年派的奇幻漂流,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg,9.0
摔跤吧！爸爸,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2457983084.jpg,9.0
指环王3：王者无敌,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910825503.jpg,9.2
飞屋环游记,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p485887754.jpg,9.0
鬼子来了,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg,9.2
十二怒汉,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg,9.4
天空之城,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1446261379.jpg,9.1
天堂电影院,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559577569.jpg,9.2
寻梦环游记,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2503997609.jpg,9.1
末代皇帝,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg,9.2
大话西游之月光宝盒,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg,9.0
哈尔的移动城堡,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg,9.0
罗马假日,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg,9.0
搏击俱乐部,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg,9.0
闻香识女人,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg,9.0
素媛,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg,9.2
辩护人,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg,9.2
何以为家,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg,9.1
窃听风暴,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg,9.1
死亡诗社,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p502437344.jpg,9.1
教父2,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg,9.2
两杆大烟枪,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg,9.1
指环王2：双塔奇兵,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p909265336.jpg,9.1
飞越疯人院,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg,9.1
狮子王,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p726659067.jpg,9.0
指环王1：魔戒再现,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1354436051.jpg,9.0
V字仇杀队,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1465235231.jpg,8.9
美丽心灵,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg,9.0
饮食男女,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg,9.1
